fico_score,default,rating
605,0,8
572,1,9
602,0,8
612,0,7
631,0,6
697,0,2
722,0,1
545,1,10
676,0,3
447,0,10
640,1,5
636,0,6
527,0,10
638,0,6
616,0,7
644,0,5
606,0,8
727,0,1
627,1,6
581,0,9
667,0,4
480,1,10
677,0,3
726,0,1
596,0,8
605,0,8
636,0,6
642,0,5
596,0,8
667,0,4
580,0,9
697,0,2
542,1,10
668,0,4
787,0,1
673,0,3
609,0,7
541,1,10
560,0,10
607,1,8
631,0,6
746,0,1
530,0,10
615,0,7
552,1,10
606,0,8
599,0,8
679,0,3
603,0,8
764,0,1
736,0,1
751,0,1
610,0,7
663,0,4
737,0,1
629,0,6
689,0,2
587,1,9
692,1,2
706,0,2
515,0,10
702,0,2
638,0,6
612,0,7
583,0,9
720,0,1
607,0,8
750,0,1
662,0,4
563,1,9
611,0,7
754,0,1
663,0,4
709,0,2
576,1,9
611,1,7
669,0,4
612,1,7
720,0,1
589,0,8
578,0,9
652,0,5
687,0,3
633,0,6
569,1,9
657,0,4
754,0,1
642,0,5
708,0,2
627,1,6
745,0,1
685,0,3
679,0,3
697,0,2
603,1,8
555,1,10
687,0,3
625,0,6
581,0,9
633,0,6
622,1,7
610,0,7
584,1,9
628,0,6
724,0,1
620,0,7
563,0,9
678,0,3
602,0,8
672,0,3
724,0,1
626,0,6
749,0,1
582,1,9
693,0,2
632,0,6
655,0,4
693,0,2
721,0,1
710,0,2
541,1,10
587,0,9
581,0,9
572,1,9
706,0,2
582,1,9
710,0,2
705,0,2
672,0,3
568,1,9
511,0,10
640,0,5
709,0,2
707,0,2
651,0,5
662,0,4
766,0,1
692,0,2
590,0,8
657,0,4
592,1,8
718,0,1
720,0,1
636,0,6
654,0,4
513,0,10
587,1,9
671,0,3
655,0,4
609,1,7
641,0,5
621,0,7
658,0,4
594,1,8
622,0,7
636,0,6
603,0,8
619,0,7
646,0,5
533,1,10
672,0,3
598,0,8
726,0,1
641,1,5
669,0,4
556,1,10
659,0,4
735,0,1
571,0,9
509,1,10
626,0,6
678,0,3
634,0,6
657,0,4
637,0,6
684,0,3
692,0,2
723,0,1
562,0,9
713,0,2
598,0,8
584,0,9
651,0,5
626,0,6
583,0,9
674,0,3
633,0,6
559,1,10
684,0,3
735,0,1
636,0,6
756,0,1
653,0,5
685,0,3
682,0,3
774,0,1
697,0,2
614,0,7
584,1,9
641,0,5
643,0,5
680,0,3
679,0,3
563,0,9
742,0,1
532,1,10
607,1,8
686,1,3
634,0,6
730,0,1
545,0,10
531,0,10
697,0,2
677,0,3
656,0,4
634,0,6
751,0,1
645,0,5
587,0,9
555,0,10
556,1,10
648,0,5
562,0,9
596,0,8
554,0,10
667,0,4
632,1,6
525,0,10
649,0,5
587,1,9
712,0,2
667,0,4
645,0,5
646,0,5
606,1,8
598,0,8
612,0,7
490,1,10
635,0,6
694,0,2
686,0,3
655,0,4
521,0,10
672,0,3
533,0,10
673,0,3
683,0,3
548,0,10
628,0,6
749,0,1
607,1,8
685,0,3
650,0,5
568,0,9
681,0,3
662,0,4
566,0,9
580,0,9
597,0,8
656,0,4
741,0,1
695,0,2
669,0,4
716,0,1
666,0,4
733,0,1
475,0,10
558,0,10
589,1,8
633,0,6
686,1,3
689,0,2
673,1,3
649,0,5
579,1,9
592,0,8
591,0,8
728,1,1
649,0,5
642,1,5
626,0,6
615,0,7
655,0,4
752,0,1
582,0,9
520,1,10
626,0,6
637,0,6
558,1,10
715,0,1
547,0,10
683,0,3
669,0,4
616,0,7
606,0,8
682,0,3
694,0,2
571,0,9
605,1,8
760,0,1
648,0,5
693,0,2
652,1,5
706,0,2
585,0,9
613,0,7
640,0,5
674,0,3
594,0,8
696,0,2
595,0,8
682,1,3
522,0,10
710,0,2
673,0,3
631,0,6
775,0,1
683,0,3
615,0,7
692,1,2
659,1,4
523,1,10
653,0,5
557,0,10
725,0,1
645,0,5
643,0,5
656,0,4
547,0,10
591,0,8
670,0,4
535,0,10
680,0,3
604,0,8
587,0,9
680,0,3
610,0,7
688,0,3
736,0,1
629,0,6
565,0,9
635,0,6
502,1,10
751,0,1
636,1,6
637,0,6
627,1,6
808,0,1
628,0,6
699,1,2
571,0,9
656,1,4
702,0,2
598,0,8
583,0,9
585,0,9
631,0,6
710,0,2
587,0,9
595,1,8
718,0,1
696,0,2
641,0,5
597,0,8
636,0,6
622,1,7
705,0,2
627,0,6
587,0,9
466,1,10
676,0,3
665,1,4
645,0,5
536,1,10
670,0,4
577,0,9
648,0,5
693,0,2
638,1,6
653,0,5
726,0,1
610,0,7
607,0,8
744,0,1
708,0,2
640,0,5
642,0,5
655,0,4
536,0,10
573,0,9
596,1,8
578,1,9
678,0,3
481,0,10
626,0,6
599,0,8
671,0,3
719,0,1
652,0,5
689,0,2
672,1,3
686,0,3
508,0,10
508,1,10
632,0,6
674,0,3
711,0,2
610,0,7
611,1,7
563,1,9
687,0,3
680,0,3
617,0,7
650,0,5
691,0,2
630,0,6
647,0,5
731,0,1
648,1,5
632,0,6
644,1,5
701,0,2
597,0,8
618,1,7
586,0,9
606,0,8
608,0,7
601,0,8
611,0,7
604,0,8
610,0,7
684,0,3
658,0,4
557,1,10
607,0,8
539,0,10
665,0,4
666,0,4
746,0,1
547,0,10
683,0,3
572,0,9
647,0,5
614,0,7
555,0,10
555,0,10
536,1,10
670,0,4
627,0,6
609,0,7
484,0,10
585,0,9
596,0,8
671,0,3
601,0,8
640,1,5
548,0,10
698,0,2
615,0,7
610,1,7
657,0,4
631,1,6
604,0,8
545,0,10
607,0,8
610,0,7
663,0,4
653,0,5
584,0,9
666,0,4
577,0,9
687,0,3
622,0,7
693,0,2
626,1,6
693,0,2
753,1,1
665,0,4
558,0,10
695,0,2
780,0,1
669,0,4
527,0,10
640,0,5
681,0,3
562,0,9
516,1,10
647,1,5
657,0,4
532,0,10
641,0,5
733,0,1
624,1,6
620,0,7
612,0,7
573,0,9
623,0,7
602,1,8
734,0,1
626,0,6
620,0,7
628,0,6
612,0,7
703,0,2
604,0,8
614,0,7
555,0,10
616,0,7
652,0,5
647,0,5
626,0,6
617,0,7
612,0,7
530,1,10
674,0,3
581,0,9
553,1,10
537,1,10
611,0,7
637,0,6
732,0,1
726,0,1
697,0,2
740,0,1
636,1,6
660,0,4
598,0,8
603,0,8
578,0,9
666,0,4
646,0,5
674,0,3
621,0,7
536,1,10
719,0,1
697,0,2
682,1,3
561,1,9
634,0,6
604,0,8
591,1,8
683,0,3
687,0,3
690,0,2
544,0,10
524,1,10
814,0,1
724,0,1
679,0,3
597,0,8
622,1,7
663,0,4
713,0,2
631,0,6
629,0,6
713,1,2
676,0,3
508,1,10
743,0,1
665,0,4
654,0,4
533,1,10
623,1,7
640,0,5
693,0,2
663,0,4
656,0,4
561,0,9
602,0,8
616,0,7
606,0,8
581,1,9
678,0,3
605,0,8
603,0,8
677,0,3
676,0,3
570,1,9
646,0,5
633,0,6
724,0,1
724,0,1
695,0,2
734,0,1
637,0,6
631,0,6
686,0,3
587,0,9
661,0,4
644,0,5
617,0,7
669,0,4
659,0,4
603,1,8
549,0,10
674,1,3
603,0,8
608,0,7
746,0,1
618,0,7
628,0,6
711,0,2
626,0,6
626,0,6
560,0,10
680,0,3
698,0,2
669,0,4
674,0,3
699,0,2
672,0,3
629,0,6
618,0,7
603,0,8
481,1,10
578,0,9
692,1,2
561,0,9
563,0,9
600,1,8
638,0,6
647,0,5
633,0,6
669,0,4
565,0,9
673,0,3
663,0,4
668,0,4
604,0,8
645,0,5
704,0,2
690,0,2
622,0,7
618,0,7
660,0,4
578,1,9
641,0,5
582,0,9
718,0,1
632,0,6
640,0,5
593,0,8
641,0,5
579,1,9
599,0,8
668,0,4
712,0,2
603,0,8
653,0,5
682,0,3
740,0,1
645,0,5
684,0,3
636,0,6
591,1,8
650,0,5
699,0,2
572,1,9
751,0,1
556,0,10
664,0,4
661,0,4
529,0,10
701,1,2
640,0,5
645,0,5
665,0,4
551,1,10
735,0,1
689,0,2
656,0,4
704,0,2
790,0,1
612,0,7
663,0,4
608,0,7
601,0,8
718,0,1
534,1,10
567,0,9
606,1,8
694,0,2
616,0,7
615,0,7
655,0,4
600,0,8
564,0,9
560,0,10
727,0,1
678,0,3
658,0,4
616,0,7
612,0,7
624,1,6
601,1,8
699,0,2
671,0,3
504,0,10
630,0,6
628,0,6
685,0,3
713,0,2
687,0,3
828,0,1
527,1,10
455,1,10
649,0,5
747,0,1
555,0,10
627,0,6
664,0,4
534,1,10
633,0,6
614,0,7
639,0,5
724,0,1
558,1,10
604,0,8
643,0,5
650,0,5
714,0,2
591,1,8
689,0,2
739,0,1
687,0,3
622,0,7
603,0,8
638,0,6
656,0,4
699,0,2
560,0,10
634,0,6
644,0,5
763,0,1
586,0,9
549,0,10
647,0,5
615,0,7
629,0,6
641,0,5
689,0,2
640,0,5
558,0,10
658,0,4
481,1,10
683,1,3
721,0,1
759,0,1
636,0,6
589,1,8
721,0,1
695,0,2
628,0,6
658,0,4
688,0,3
627,0,6
587,0,9
596,0,8
583,0,9
607,0,8
629,0,6
689,0,2
727,0,1
612,0,7
664,0,4
521,0,10
671,0,3
580,0,9
665,0,4
642,0,5
593,1,8
632,0,6
574,0,9
596,1,8
544,0,10
539,0,10
621,0,7
702,0,2
726,0,1
605,0,8
651,0,5
595,0,8
706,0,2
665,0,4
749,0,1
740,0,1
636,1,6
552,1,10
571,0,9
705,0,2
682,0,3
594,0,8
585,0,9
663,1,4
684,0,3
662,0,4
623,0,7
644,0,5
753,0,1
516,0,10
683,0,3
573,1,9
601,0,8
659,0,4
673,0,3
724,0,1
554,0,10
591,1,8
572,1,9
732,0,1
594,0,8
718,0,1
678,0,3
611,1,7
564,0,9
663,0,4
677,0,3
553,0,10
527,1,10
634,0,6
633,0,6
694,0,2
629,0,6
575,0,9
566,0,9
543,0,10
648,0,5
733,0,1
550,1,10
636,0,6
572,1,9
639,0,5
617,1,7
618,0,7
738,0,1
710,0,2
610,0,7
699,0,2
680,0,3
739,0,1
635,1,6
670,0,4
584,0,9
504,1,10
644,0,5
682,0,3
711,0,2
690,0,2
669,0,4
706,0,2
760,0,1
717,1,1
651,0,5
644,0,5
605,1,8
635,0,6
712,0,2
713,0,2
613,0,7
679,0,3
554,1,10
597,1,8
741,0,1
594,1,8
570,0,9
663,0,4
730,0,1
632,1,6
772,0,1
624,0,6
598,1,8
651,0,5
633,0,6
658,1,4
693,0,2
626,0,6
645,0,5
563,0,9
645,0,5
670,0,4
637,1,6
530,0,10
596,0,8
566,1,9
603,0,8
647,0,5
683,0,3
662,0,4
610,0,7
651,0,5
671,0,3
585,1,9
592,0,8
679,0,3
718,0,1
708,0,2
